entradas,tiempo
80,0.005001
160,0.015003
240,0.037008
320,0.052007
400,0.074476
480,0.135042
560,0.163053
640,0.249549
720,0.304062
800,0.321040
880,0.359054
960,0.469084
1040,0.543070
1120,0.589052
1200,0.715100
1280,0.739091
1360,0.866590
1440,1.136670
1520,1.127136
1600,1.341170
